stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.024200439453125
estimators,ls,ber,2.0,0.004135718712439904
estimators,ls,ber,4.0,0.0011184606174964688
estimators,ls,ber,6.0,0.0005330506053813619
estimators,ls,ber,8.0,0.00032225714789496526
estimators,ls,ber,10.0,0.0002574123077210275
estimators,ls,ber,12.0,0.00035230848524305555
estimators,ls,ber,14.0,0.0002941242927047331
estimators,ls,ber,16.0,0.0002898033326786546
estimators,ls,ber,18.0,0.0003864858342313218
estimators,ls,ber,20.0,0.00033268502088097055
estimators,ls,ber_upper_confidence,0.0,0.02432823591902913
estimators,ls,ber_upper_confidence,2.0,0.004182670991971402
estimators,ls,ber_upper_confidence,4.0,0.001129933342183055
estimators,ls,ber_upper_confidence,6.0,0.0005380337838493819
estimators,ls,ber_upper_confidence,8.0,0.00032531055329847023
estimators,ls,ber_upper_confidence,10.0,0.0002599438951028795
estimators,ls,ber_upper_confidence,12.0,0.0003559967416692677
estimators,ls,ber_upper_confidence,14.0,0.00029719357591565253
estimators,ls,ber_upper_confidence,16.0,0.000293159732124624
estimators,ls,ber_upper_confidence,18.0,0.0003907912510745792
estimators,ls,ber_upper_confidence,20.0,0.0003364414171408073
estimators,ls,latency_ms,0.0,474.88263353332616
estimators,ls,latency_ms,2.0,473.14797764103236
estimators,ls,latency_ms,4.0,480.41054826552613
estimators,ls,latency_ms,6.0,464.8827418970739
estimators,ls,latency_ms,8.0,464.53456557501625
estimators,ls,latency_ms,10.0,466.50377632616755
estimators,ls,latency_ms,12.0,467.86176106675947
estimators,ls,latency_ms,14.0,463.44263190483065
estimators,ls,latency_ms,16.0,462.1670748640669
estimators,ls,latency_ms,18.0,463.7753861195069
estimators,ls,latency_ms,20.0,462.10298954062955
estimators,ls,throughput_bits_per_batch,0.0,383700.0
estimators,ls,throughput_bits_per_batch,2.0,391589.76923076925
estimators,ls,throughput_bits_per_batch,4.0,392776.2033898305
estimators,ls,throughput_bits_per_batch,6.0,393006.39597315434
estimators,ls,throughput_bits_per_batch,8.0,393089.2833333333
estimators,ls,throughput_bits_per_batch,10.0,393114.7813620072
estimators,ls,throughput_bits_per_batch,12.0,393077.4666666667
estimators,ls,throughput_bits_per_batch,14.0,393100.34562211984
estimators,ls,throughput_bits_per_batch,16.0,393102.04469273746
estimators,ls,throughput_bits_per_batch,18.0,393064.0275862069
estimators,ls,throughput_bits_per_batch,20.0,393085.18292682926
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000008
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000013
estimators,ls,energy_joules_per_batch,6.0,0.00018645100000000045
estimators,ls,energy_joules_per_batch,8.0,0.00018645099999999948
estimators,ls,energy_joules_per_batch,10.0,0.00018645099999999915
estimators,ls,energy_joules_per_batch,12.0,0.00018645100000000024
estimators,ls,energy_joules_per_batch,14.0,0.00018645099999999972
estimators,ls,energy_joules_per_batch,16.0,0.00018645100000000027
estimators,ls,energy_joules_per_batch,18.0,0.00018645100000000045
estimators,ls,energy_joules_per_batch,20.0,0.00018645100000000048
estimators,ls,avg_power_w,0.0,0.00039262543381030025
estimators,ls,avg_power_w,2.0,0.00039406487782022527
estimators,ls,avg_power_w,4.0,0.00038810763142725044
