stage,method,metric,value
resource_managers,__stage__,stage_dir,/app/results/20260420_040402_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_rayleigh_qpsk_s/resource_managers
resource_managers,__stage__,stage_json,/app/results/20260420_040402_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_rayleigh_qpsk_s/resource_managers/stage_results_v2.json
resource_managers,__stage__,stage_csv,/app/results/20260420_040402_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_rayleigh_qpsk_s/resource_managers/stage_results_v2.csv
resource_managers,static,mean_ber,1.0321030162046512e-05
resource_managers,static,mean_ber_upper_confidence,1.0474325073503536e-05
resource_managers,static,mean_latency_ms,643.6368444045793
resource_managers,static,mean_throughput_bits_per_batch,393211.9416058038
resource_managers,static,mean_energy_joules_per_batch,0.00018645099999999457
resource_managers,static,mean_avg_power_w,0.0002900219948996559
resource_managers,static,mean_runtime_sec,1290.3808075232814
resource_managers,static,mean_bit_errors,1790.6363636363637
resource_managers,static,mean_total_bits,727592587.6363636
resource_managers,static,mean_block_errors,12.454545454545455
resource_managers,static,mean_total_blocks,473693.0909090909
resource_managers,static,mean_num_batches,1850.3636363636363
resource_managers,round_robin,mean_ber,0.0
resource_managers,round_robin,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,round_robin,mean_latency_ms,636.3994082923309
resource_managers,round_robin,mean_throughput_bits_per_batch,196608.0
resource_managers,round_robin,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,round_robin,mean_avg_power_w,0.000292980370255797
resource_managers,round_robin,mean_runtime_sec,1395.186143141447
resource_managers,round_robin,mean_bit_errors,0.0
resource_managers,round_robin,mean_total_bits,393216000.0
resource_managers,round_robin,mean_block_errors,0.0
resource_managers,round_robin,mean_total_blocks,256000.0
resource_managers,round_robin,mean_num_batches,2000.0
resource_managers,max_throughput,mean_ber,0.0
resource_managers,max_throughput,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,max_throughput,mean_latency_ms,635.7953010802931
resource_managers,max_throughput,mean_throughput_bits_per_batch,196608.0
resource_managers,max_throughput,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,max_throughput,mean_avg_power_w,0.0002932571733338396
resource_managers,max_throughput,mean_runtime_sec,1403.2229040851644
resource_managers,max_throughput,mean_bit_errors,0.0
resource_managers,max_throughput,mean_total_bits,393216000.0
resource_managers,max_throughput,mean_block_errors,0.0
resource_managers,max_throughput,mean_total_blocks,256000.0
resource_managers,max_throughput,mean_num_batches,2000.0
resource_managers,pf,mean_ber,0.0
resource_managers,pf,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,pf,mean_latency_ms,635.9218264513204
resource_managers,pf,mean_throughput_bits_per_batch,196608.0
resource_managers,pf,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,pf,mean_avg_power_w,0.00029319938508934605
resource_managers,pf,mean_runtime_sec,1403.4069697970126
resource_managers,pf,mean_bit_errors,0.0
resource_managers,pf,mean_total_bits,393216000.0
resource_managers,pf,mean_block_errors,0.0
resource_managers,pf,mean_total_blocks,256000.0
resource_managers,pf,mean_num_batches,2000.0
resource_managers,wmmse,mean_ber,0.0
resource_managers,wmmse,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,wmmse,mean_latency_ms,636.649220061748
resource_managers,wmmse,mean_throughput_bits_per_batch,196608.0
resource_managers,wmmse,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,wmmse,mean_avg_power_w,0.00029286421386953834
resource_managers,wmmse,mean_runtime_sec,1416.2512743002897
resource_managers,wmmse,mean_bit_errors,0.0
resource_managers,wmmse,mean_total_bits,393216000.0
resource_managers,wmmse,mean_block_errors,0.0
resource_managers,wmmse,mean_total_blocks,256000.0
resource_managers,wmmse,mean_num_batches,2000.0
resource_managers,queue_aware,mean_ber,0.0
resource_managers,queue_aware,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,queue_aware,mean_latency_ms,635.4998103607414
resource_managers,queue_aware,mean_throughput_bits_per_batch,196608.0
resource_managers,queue_aware,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,queue_aware,mean_avg_power_w,0.0002933940164583572
resource_managers,queue_aware,mean_runtime_sec,1403.1881321559931
resource_managers,queue_aware,mean_bit_errors,0.0
resource_managers,queue_aware,mean_total_bits,393216000.0
resource_managers,queue_aware,mean_block_errors,0.0
resource_managers,queue_aware,mean_total_blocks,256000.0
resource_managers,queue_aware,mean_num_batches,2000.0
resource_managers,drl,mean_ber,0.0
resource_managers,drl,mean_ber_upper_confidence,7.618541141647311e-09
resource_managers,drl,mean_latency_ms,635.4674266996147
resource_managers,drl,mean_throughput_bits_per_batch,196608.0
resource_managers,drl,mean_energy_joules_per_batch,0.00018645099999999409
resource_managers,drl,mean_avg_power_w,0.00029340829437444414
resource_managers,drl,mean_runtime_sec,1422.995365108001
resource_managers,drl,mean_bit_errors,0.0
resource_managers,drl,mean_total_bits,393216000.0
resource_managers,drl,mean_block_errors,0.0
resource_managers,drl,mean_total_blocks,256000.0
resource_managers,drl,mean_num_batches,2000.0
resource_managers,static,runtime_total_sec,14194.188882756063
resource_managers,round_robin,runtime_total_sec,15347.0475745559
resource_managers,max_throughput,runtime_total_sec,15435.45194493681
resource_managers,pf,runtime_total_sec,15437.476667767136
resource_managers,wmmse,runtime_total_sec,15578.7640173032
resource_managers,queue_aware,runtime_total_sec,15435.069453715952
resource_managers,drl,runtime_total_sec,15652.949016188002
