Method,Metric,EbNo_0.0dB,EbNo_5.0dB,EbNo_10.0dB,EbNo_15.0dB,EbNo_20.0dB
ls,ber,0.022054036458333332,0.0,0.0,0.0,0.0
ls,ber_upper_confidence,0.024340700077963802,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
ls,throughput,6008.5,6144.0,6144.0,6144.0,6144.0
ls,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
ls,bit_errors,271,0,0,0,0
ls,total_bits,12288,12288,12288,12288,12288
dft,ber,0.040364583333333336,0.0,0.0,0.0,0.0
dft,ber_upper_confidence,0.043387577900816654,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
dft,throughput,5896.0,6144.0,6144.0,6144.0,6144.0
dft,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
dft,bit_errors,496,0,0,0,0
dft,total_bits,12288,12288,12288,12288,12288
lmmse,ber,0.0,0.0,0.0,0.0,0.0
lmmse,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
lmmse,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
lmmse,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
lmmse,bit_errors,0,0,0,0,0
lmmse,total_bits,12288,12288,12288,12288,12288
pso,ber,0.165771484375,0.0341796875,0.0,0.0,0.029215494791666668
pso,ber_upper_confidence,0.17136297132473577,0.03697987462380334,0.00024379331653271404,0.00024379331653271404,0.031819934850752754
pso,throughput,5125.5,5934.0,6144.0,6144.0,5964.5
pso,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pso,bit_errors,2037,420,0,0,359
pso,total_bits,12288,12288,12288,12288,12288
perfect,ber,0.0,0.0,0.0,0.0,0.0
perfect,ber_upper_confidence,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
perfect,throughput,6144.0,6144.0,6144.0,6144.0,6144.0
perfect,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
perfect,bit_errors,0,0,0,0,0
perfect,total_bits,12288,12288,12288,12288,12288
