stage,method,metric,value
resource_managers,__stage__,stage_dir,/app/results/20260420_043640_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_umi_qpsk_s/resource_managers
resource_managers,__stage__,stage_json,/app/results/20260420_043640_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_umi_qpsk_s/resource_managers/stage_results_v2.json
resource_managers,__stage__,stage_csv,/app/results/20260420_043640_static_round_robin_max_throughput_pf_wmmse_queue_aware_drl_umi_qpsk_s/resource_managers/stage_results_v2.csv
resource_managers,static,mean_ber,0.0005483205429597169
resource_managers,static,mean_ber_upper_confidence,0.0005540996613176823
resource_managers,static,mean_latency_ms,761.2610214051612
resource_managers,static,mean_throughput_bits_per_batch,393000.3915893795
resource_managers,static,mean_energy_joules_per_batch,0.00018645099999999926
resource_managers,static,mean_avg_power_w,0.000247699994291978
resource_managers,static,mean_runtime_sec,839.6605618668201
resource_managers,static,mean_bit_errors,25219.272727272728
resource_managers,static,mean_total_bits,424816267.6363636
resource_managers,static,mean_block_errors,98.9090909090909
resource_managers,static,mean_total_blocks,276573.0909090909
resource_managers,static,mean_num_batches,1080.3636363636363
resource_managers,round_robin,mean_ber,0.00017998388594702333
resource_managers,round_robin,mean_ber_upper_confidence,0.0001818178131725785
resource_managers,round_robin,mean_latency_ms,703.1124894606743
resource_managers,round_robin,mean_throughput_bits_per_batch,196572.61372815174
resource_managers,round_robin,mean_energy_joules_per_batch,0.00018645099999999674
resource_managers,round_robin,mean_avg_power_w,0.0002681344409728655
resource_managers,round_robin,mean_runtime_sec,1164.013733406799
resource_managers,round_robin,mean_bit_errors,22897.909090909092
resource_managers,round_robin,mean_total_bits,311301957.8181818
resource_managers,round_robin,mean_block_errors,65.54545454545455
resource_managers,round_robin,mean_total_blocks,202670.54545454544
resource_managers,round_robin,mean_num_batches,1583.3636363636363
resource_managers,max_throughput,mean_ber,9.806604082943279e-05
resource_managers,max_throughput,mean_ber_upper_confidence,9.914972551521512e-05
resource_managers,max_throughput,mean_latency_ms,686.4312385964048
resource_managers,max_throughput,mean_throughput_bits_per_batch,196588.71943184463
resource_managers,max_throughput,mean_energy_joules_per_batch,0.00018645099999999536
resource_managers,max_throughput,mean_avg_power_w,0.0002742851617577204
