Method,Metric,EbNo_-5.0dB,EbNo_-4.5dB,EbNo_-4.0dB,EbNo_-3.5dB,EbNo_-3.0dB,EbNo_-2.5dB,EbNo_-2.0dB,EbNo_-1.5dB,EbNo_-1.0dB,EbNo_-0.5dB,EbNo_0.0dB,EbNo_0.5dB,EbNo_1.0dB,EbNo_1.5dB,EbNo_2.0dB,EbNo_2.5dB,EbNo_3.0dB,EbNo_3.5dB,EbNo_4.0dB,EbNo_4.5dB,EbNo_5.0dB,EbNo_5.5dB,EbNo_6.0dB,EbNo_6.5dB,EbNo_7.0dB,EbNo_7.5dB,EbNo_8.0dB,EbNo_8.5dB,EbNo_9.0dB,EbNo_9.5dB,EbNo_10.0dB
ls,ber,0.2889811197916667,0.2511393229166667,0.26416015625,0.2333984375,0.209228515625,0.17374674479166666,0.15608723958333334,0.0888671875,0.12613932291666666,0.037272135416666664,0.0,0.019287109375,0.010660807291666666,0.0,0.0,0.0,0.025553385416666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ls,ber_upper_confidence,0.29575307017499736,0.2576285697171089,0.2707535788383252,0.2397332503761312,0.21532782778011553,0.1794405416589053,0.16154829866308268,0.09318048656120767,0.13114820352708575,0.040186335196036545,0.00024379331653271404,0.02143620207584461,0.012296052578066,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.028001372610939237,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
ls,throughput,4368.5,4601.0,4521.0,4710.0,4858.5,5076.5,5185.0,5598.0,5369.0,5915.0,6144.0,6025.5,6078.5,6144.0,6144.0,6144.0,5987.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
ls,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
ls,bit_errors,3551,3086,3246,2868,2571,2135,1918,1092,1550,458,0,237,131,0,0,0,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ls,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
dft,ber,0.2638346354166667,0.22884114583333334,0.21834309895833334,0.197265625,0.21370442708333334,0.092529296875,0.07071940104166667,0.052083333333333336,0.0,0.011311848958333334,0.0,0.055989583333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dft,ber_upper_confidence,0.27042554451215095,0.23513384471095916,0.2245347951544068,0.20323669801737085,0.21984966510975487,0.09691919931738889,0.07461855576027153,0.055480060653571875,0.00024379331653271404,0.012992151550767996,0.00024379331653271404,0.05949971630150734,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
dft,throughput,4523.0,4738.0,4802.5,4932.0,4831.0,5575.5,5709.5,5824.0,6144.0,6074.5,6144.0,5800.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
dft,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
dft,bit_errors,3242,2812,2683,2424,2626,1137,869,640,0,139,0,688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dft,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
lmmse,ber,0.15625,0.15592447916666666,0.06868489583333333,0.06770833333333333,0.15201822916666666,0.023518880208333332,0.035563151041666664,0.0,0.010579427083333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lmmse,ber_upper_confidence,0.16171330974488282,0.16138328552702555,0.07253351673983592,0.07153236366520753,0.15742234706592942,0.025874641324886875,0.03841502991919378,0.00024379331653271404,0.012208941500116827,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
lmmse,throughput,5184.0,5186.0,5722.0,5728.0,5210.0,5999.5,5925.5,6144.0,6079.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
lmmse,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
lmmse,bit_errors,1920,1916,844,832,1868,289,437,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lmmse,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
pso,ber,0.24845377604166666,0.22379557291666666,0.21443684895833334,0.18033854166666666,0.17643229166666666,0.15804036458333334,0.07291666666666667,0.11092122395833333,0.040690104166666664,0.027750651041666668,0.066650390625,0.09993489583333333,0.051595052083333336,0.008870442708333334,0.10400390625,0.06640625,0.030680338541666668,0.06494140625,0.033121744791666664,0.0771484375,0.094482421875,0.0,0.0,0.06770833333333333,0.028564453125,0.026529947916666668,0.042236328125,0.037353515625,0.07462565104166667,0.0,0.064453125
pso,ber_upper_confidence,0.2549205904035563,0.2300404328698299,0.2205894987933076,0.1861136165639926,0.18215955198099895,0.1635282968066136,0.0768693763104929,0.1156669117444268,0.043724271390095555,0.03029387215052833,0.07044752961502414,0.1044735707606993,0.05497725221146776,0.010373908050343697,0.10862106565107414,0.07019714555699454,0.033344334635081255,0.06869453821141062,0.03588160952464204,0.0812014572107095,0.09891233703532215,0.00024379331653271404,0.00024379331653271404,0.07153236366520753,0.031141897360059415,0.029020790249570338,0.04532288059931667,0.04027064254385477,0.07861930856260635,0.00024379331653271404,0.06819355185825375
pso,throughput,4617.5,4769.0,4826.5,5036.0,5060.0,5173.0,5696.0,5462.5,5894.0,5973.5,5734.5,5530.0,5827.0,6089.5,5505.0,5736.0,5955.5,5745.0,5940.5,5670.0,5563.5,6144.0,6144.0,5728.0,5968.5,5981.0,5884.5,5914.5,5685.5,6144.0,5748.0
pso,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
pso,bit_errors,3053,2750,2635,2216,2168,1942,896,1363,500,341,819,1228,634,109,1278,816,377,798,407,948,1161,0,0,832,351,326,519,459,917,0,792
pso,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
perfect,ber,0.038899739583333336,0.0,0.01513671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perfect,ber_upper_confidence,0.041871811678660345,0.00024379331653271404,0.017058111049378696,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404,0.00024379331653271404
perfect,throughput,5905.0,6144.0,6051.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0,6144.0
perfect,latency,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334,0.0005395833333333334
perfect,bit_errors,478,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perfect,total_bits,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288,12288
