stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.024200439453125
estimators,ls,ber,2.0,0.004001072474888393
estimators,ls,ber,4.0,0.0009654362996419271
estimators,ls,ber,6.0,0.00046115950042126226
estimators,ls,ber,8.0,0.00034565875253346533
estimators,ls,ber,10.0,0.00030181884765625
estimators,ls,ber,12.0,0.00028226164733471514
estimators,ls,ber,14.0,0.00034129087048297895
estimators,ls,ber,16.0,0.0003224690755208333
estimators,ls,ber,18.0,0.0002735942399420706
estimators,ls,ber,20.0,0.00039979722764756944
estimators,ls,ber_upper_confidence,0.0,0.02432823591902913
estimators,ls,ber_upper_confidence,2.0,0.004045572203270118
estimators,ls,ber_upper_confidence,4.0,0.000975673044155854
estimators,ls,ber_upper_confidence,6.0,0.0004654990584854115
estimators,ls,ber_upper_confidence,8.0,0.0003489542729160059
estimators,ls,ber_upper_confidence,10.0,0.00030471433671406693
estimators,ls,ber_upper_confidence,12.0,0.0002854266120559616
estimators,ls,ber_upper_confidence,14.0,0.00034478719295585945
estimators,ls,ber_upper_confidence,16.0,0.0003261564038811537
estimators,ls,ber_upper_confidence,18.0,0.0002767105192070808
estimators,ls,ber_upper_confidence,20.0,0.0004041017367241298
estimators,ls,latency_ms,0.0,501.83925023335786
estimators,ls,latency_ms,2.0,498.99788719049013
estimators,ls,latency_ms,4.0,493.7778914427015
estimators,ls,latency_ms,6.0,483.47864092744624
estimators,ls,latency_ms,8.0,481.91314898491817
estimators,ls,latency_ms,10.0,480.3907084533361
estimators,ls,latency_ms,12.0,482.5312451496612
estimators,ls,latency_ms,14.0,480.25795619415976
estimators,ls,latency_ms,16.0,476.900826448488
estimators,ls,latency_ms,18.0,480.5377841853688
estimators,ls,latency_ms,20.0,478.687349913332
estimators,ls,throughput_bits_per_batch,0.0,383700.0
estimators,ls,throughput_bits_per_batch,2.0,391642.71428571426
estimators,ls,throughput_bits_per_batch,4.0,392836.375
estimators,ls,throughput_bits_per_batch,6.0,393034.6647058824
estimators,ls,throughput_bits_per_batch,8.0,393080.0814479638
estimators,ls,throughput_bits_per_batch,10.0,393097.32
estimators,ls,throughput_bits_per_batch,12.0,393105.01020408166
estimators,ls,throughput_bits_per_batch,14.0,393081.7989690722
estimators,ls,throughput_bits_per_batch,16.0,393089.2
estimators,ls,throughput_bits_per_batch,18.0,393108.4183673469
estimators,ls,throughput_bits_per_batch,20.0,393058.79333333333
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000018
estimators,ls,energy_joules_per_batch,6.0,0.00018645100000000043
estimators,ls,energy_joules_per_batch,8.0,0.0001864509999999997
estimators,ls,energy_joules_per_batch,10.0,0.0001864509999999994
estimators,ls,energy_joules_per_batch,12.0,0.000186451
estimators,ls,energy_joules_per_batch,14.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,16.0,0.00018645100000000048
estimators,ls,energy_joules_per_batch,18.0,0.000186451
estimators,ls,energy_joules_per_batch,20.0,0.00018645100000000045
estimators,ls,avg_power_w,0.0,0.0003715353071990669
estimators,ls,avg_power_w,2.0,0.0003736508806676033
estimators,ls,avg_power_w,4.0,0.00037760094818185304
estimators,ls,avg_power_w,6.0,0.0003856447508049904
estimators,ls,avg_power_w,8.0,0.00038689751543972674
estimators,ls,avg_power_w,10.0,0.00038812366001061147
estimators,ls,avg_power_w,12.0,0.000386401920858349
estimators,ls,avg_power_w,14.0,0.0003882309446313913
estimators,ls,avg_power_w,16.0,0.00039096388527676376
estimators,ls,avg_power_w,18.0,0.00038800486899501744
estimators,ls,avg_power_w,20.0,0.00038950475719435256
estimators,ls,runtime_sec,0.0,5.288848877000078
estimators,ls,runtime_sec,2.0,7.366932794000036
estimators,ls,runtime_sec,4.0,33.33548818699967
estimators,ls,runtime_sec,6.0,86.6743352460004
estimators,ls,runtime_sec,8.0,112.2469608490037
estimators,ls,runtime_sec,10.0,126.65769648099888
estimators,ls,runtime_sec,12.0,99.77874071599888
estimators,ls,runtime_sec,14.0,98.21374650100188
estimators,ls,runtime_sec,16.0,82.99396911800022
estimators,ls,runtime_sec,18.0,99.31489125699966
estimators,ls,runtime_sec,20.0,75.77725982799939
estimators,ls,bit_errors,0.0,95160.0
estimators,ls,bit_errors,2.0,22026.0
estimators,ls,bit_errors,4.0,24296.0
estimators,ls,bit_errors,6.0,30827.0
estimators,ls,bit_errors,8.0,30038.0
estimators,ls,bit_errors,10.0,29670.0
estimators,ls,bit_errors,12.0,21754.0
estimators,ls,bit_errors,14.0,26035.0
estimators,ls,bit_errors,16.0,20922.0
estimators,ls,bit_errors,18.0,21086.0
estimators,ls,bit_errors,20.0,23581.0
estimators,ls,total_bits,0.0,3932160.0
estimators,ls,total_bits,2.0,5505024.0
estimators,ls,total_bits,4.0,25165824.0
estimators,ls,total_bits,6.0,66846720.0
estimators,ls,total_bits,8.0,86900736.0
estimators,ls,total_bits,10.0,98304000.0
estimators,ls,total_bits,12.0,77070336.0
estimators,ls,total_bits,14.0,76283904.0
estimators,ls,total_bits,16.0,64880640.0
estimators,ls,total_bits,18.0,77070336.0
estimators,ls,total_bits,20.0,58982400.0
estimators,ls,block_errors,0.0,467.0
estimators,ls,block_errors,2.0,107.0
estimators,ls,block_errors,4.0,102.0
estimators,ls,block_errors,6.0,100.0
estimators,ls,block_errors,8.0,100.0
estimators,ls,block_errors,10.0,100.0
estimators,ls,block_errors,12.0,100.0
estimators,ls,block_errors,14.0,100.0
estimators,ls,block_errors,16.0,101.0
estimators,ls,block_errors,18.0,100.0
estimators,ls,block_errors,20.0,100.0
estimators,ls,total_blocks,0.0,2560.0
estimators,ls,total_blocks,2.0,3584.0
estimators,ls,total_blocks,4.0,16384.0
estimators,ls,total_blocks,6.0,43520.0
estimators,ls,total_blocks,8.0,56576.0
estimators,ls,total_blocks,10.0,64000.0
estimators,ls,total_blocks,12.0,50176.0
estimators,ls,total_blocks,14.0,49664.0
estimators,ls,total_blocks,16.0,42240.0
estimators,ls,total_blocks,18.0,50176.0
estimators,ls,total_blocks,20.0,38400.0
estimators,ls,num_batches,0.0,10.0
estimators,ls,num_batches,2.0,14.0
estimators,ls,num_batches,4.0,64.0
estimators,ls,num_batches,6.0,170.0
estimators,ls,num_batches,8.0,221.0
estimators,ls,num_batches,10.0,250.0
estimators,ls,num_batches,12.0,196.0
estimators,ls,num_batches,14.0,194.0
estimators,ls,num_batches,16.0,165.0
estimators,ls,num_batches,18.0,196.0
estimators,ls,num_batches,20.0,150.0
estimators,ls,stop_reason,0.0,target_block_errors
estimators,ls,stop_reason,2.0,target_block_errors
estimators,ls,stop_reason,4.0,target_block_errors
estimators,ls,stop_reason,6.0,target_block_errors
estimators,ls,stop_reason,8.0,target_block_errors
estimators,ls,stop_reason,10.0,target_block_errors
estimators,ls,stop_reason,12.0,target_block_errors
estimators,ls,stop_reason,14.0,target_block_errors
estimators,ls,stop_reason,16.0,target_block_errors
estimators,ls,stop_reason,18.0,target_block_errors
estimators,ls,stop_reason,20.0,target_block_errors
estimators,ls,point_status,0.0,resolved
estimators,ls,point_status,2.0,resolved
estimators,ls,point_status,4.0,resolved
estimators,ls,point_status,6.0,resolved
estimators,ls,point_status,8.0,resolved
estimators,ls,point_status,10.0,resolved
estimators,ls,point_status,12.0,resolved
estimators,ls,point_status,14.0,resolved
estimators,ls,point_status,16.0,resolved
estimators,ls,point_status,18.0,resolved
estimators,ls,point_status,20.0,resolved
estimators,ls,runtime_total_sec,,827.6488698540028
