stage,method,metric,ebno_db,value
resource_managers,ber_drl,ber,0.0,0.0009589948152240954
resource_managers,ber_drl,ber,2.0,0.00031256103515625
resource_managers,ber_drl,ber,4.0,0.0001817838779925282
resource_managers,ber_drl,ber,6.0,9.784444173177084e-05
resource_managers,ber_drl,ber,8.0,9.158833821614584e-05
resource_managers,ber_drl,ber,10.0,3.415679931640625e-05
resource_managers,ber_drl,ber,12.0,4.1631062825520836e-05
resource_managers,ber_drl,ber,14.0,4.652913411458333e-05
resource_managers,ber_drl,ber,16.0,2.5728861490885416e-05
resource_managers,ber_drl,ber,18.0,4.4123331705729166e-05
resource_managers,ber_drl,ber,20.0,2.1237691243489582e-05
resource_managers,ber_drl,ber_upper_confidence,0.0,0.0009683534271765502
resource_managers,ber_drl,ber_upper_confidence,2.0,0.0003155073413184479
resource_managers,ber_drl,ber_upper_confidence,4.0,0.00018330289079026305
resource_managers,ber_drl,ber_upper_confidence,6.0,9.866835059310739e-05
resource_managers,ber_drl,ber_upper_confidence,8.0,9.238558672334663e-05
resource_managers,ber_drl,ber_upper_confidence,10.0,3.464502948387108e-05
resource_managers,ber_drl,ber_upper_confidence,12.0,4.216970804049491e-05
resource_managers,ber_drl,ber_upper_confidence,14.0,4.709838596490901e-05
resource_managers,ber_drl,ber_upper_confidence,16.0,2.615305813334734e-05
resource_managers,ber_drl,ber_upper_confidence,18.0,4.4677762921450074e-05
resource_managers,ber_drl,ber_upper_confidence,20.0,2.1623408480398787e-05
resource_managers,ber_drl,latency_ms,0.0,525.2118384386002
resource_managers,ber_drl,latency_ms,2.0,516.1436714553311
resource_managers,ber_drl,latency_ms,4.0,510.1219463186802
resource_managers,ber_drl,latency_ms,6.0,505.52623975679813
resource_managers,ber_drl,latency_ms,8.0,505.4379285808235
resource_managers,ber_drl,latency_ms,10.0,504.49602180681586
resource_managers,ber_drl,latency_ms,12.0,505.2110486533157
resource_managers,ber_drl,latency_ms,14.0,505.68897527131054
resource_managers,ber_drl,latency_ms,16.0,506.6019514463024
resource_managers,ber_drl,latency_ms,18.0,506.39655241081437
resource_managers,ber_drl,latency_ms,20.0,506.4979934188248
resource_managers,ber_drl,throughput_bits_per_batch,0.0,196419.45394736843
resource_managers,ber_drl,throughput_bits_per_batch,2.0,196546.548
resource_managers,ber_drl,throughput_bits_per_batch,4.0,196572.25983531564
resource_managers,ber_drl,throughput_bits_per_batch,6.0,196588.763
resource_managers,ber_drl,throughput_bits_per_batch,8.0,196589.993
resource_managers,ber_drl,throughput_bits_per_batch,10.0,196601.2845
resource_managers,ber_drl,throughput_bits_per_batch,12.0,196599.815
resource_managers,ber_drl,throughput_bits_per_batch,14.0,196598.852
resource_managers,ber_drl,throughput_bits_per_batch,16.0,196602.9415
resource_managers,ber_drl,throughput_bits_per_batch,18.0,196599.325
resource_managers,ber_drl,throughput_bits_per_batch,20.0,196603.8245
resource_managers,ber_drl,energy_joules_per_batch,0.0,0.00018645100000000045
resource_managers,ber_drl,energy_joules_per_batch,2.0,0.0001864510000000006
resource_managers,ber_drl,energy_joules_per_batch,4.0,0.00018645100000000251
resource_managers,ber_drl,energy_joules_per_batch,6.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,8.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,10.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,12.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,14.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,16.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,18.0,0.00018645099999999409
resource_managers,ber_drl,energy_joules_per_batch,20.0,0.00018645099999999409
resource_managers,ber_drl,avg_power_w,0.0,0.000355001518157511
resource_managers,ber_drl,avg_power_w,2.0,0.00036123856652989445
resource_managers,ber_drl,avg_power_w,4.0,0.00036550280054707543
resource_managers,ber_drl,avg_power_w,6.0,0.00036882556302061226
resource_managers,ber_drl,avg_power_w,8.0,0.00036889000499727855
resource_managers,ber_drl,avg_power_w,10.0,0.00036957873192385813
resource_managers,ber_drl,avg_power_w,12.0,0.0003690556659380185
resource_managers,ber_drl,avg_power_w,14.0,0.00036870687145188413
resource_managers,ber_drl,avg_power_w,16.0,0.0003680424038393328
resource_managers,ber_drl,avg_power_w,18.0,0.0003681916851770658
resource_managers,ber_drl,avg_power_w,20.0,0.0003681179440444834
resource_managers,ber_drl,runtime_sec,0.0,90.34687183000106
resource_managers,ber_drl,runtime_sec,2.0,292.27020717200014
resource_managers,ber_drl,runtime_sec,4.0,631.0365130270216
resource_managers,ber_drl,runtime_sec,6.0,1144.0767648559968
resource_managers,ber_drl,runtime_sec,8.0,1144.2859412979979
resource_managers,ber_drl,runtime_sec,10.0,1154.519773365995
resource_managers,ber_drl,runtime_sec,12.0,1156.034574018996
resource_managers,ber_drl,runtime_sec,14.0,1157.0618263150004
resource_managers,ber_drl,runtime_sec,16.0,1106.7865651100324
resource_managers,ber_drl,runtime_sec,18.0,1106.317671419018
resource_managers,ber_drl,runtime_sec,20.0,1106.621868023998
resource_managers,ber_drl,bit_errors,0.0,28659.0
resource_managers,ber_drl,bit_errors,2.0,30726.0
resource_managers,ber_drl,bit_errors,4.0,39064.0
resource_managers,ber_drl,bit_errors,6.0,38474.0
resource_managers,ber_drl,bit_errors,8.0,36014.0
resource_managers,ber_drl,bit_errors,10.0,13431.0
resource_managers,ber_drl,bit_errors,12.0,16370.0
resource_managers,ber_drl,bit_errors,14.0,18296.0
resource_managers,ber_drl,bit_errors,16.0,10117.0
resource_managers,ber_drl,bit_errors,18.0,17350.0
resource_managers,ber_drl,bit_errors,20.0,8351.0
resource_managers,ber_drl,total_bits,0.0,29884416.0
resource_managers,ber_drl,total_bits,2.0,98304000.0
resource_managers,ber_drl,total_bits,4.0,214892544.0
resource_managers,ber_drl,total_bits,6.0,393216000.0
resource_managers,ber_drl,total_bits,8.0,393216000.0
resource_managers,ber_drl,total_bits,10.0,393216000.0
resource_managers,ber_drl,total_bits,12.0,393216000.0
resource_managers,ber_drl,total_bits,14.0,393216000.0
resource_managers,ber_drl,total_bits,16.0,393216000.0
resource_managers,ber_drl,total_bits,18.0,393216000.0
resource_managers,ber_drl,total_bits,20.0,393216000.0
resource_managers,ber_drl,block_errors,0.0,100.0
resource_managers,ber_drl,block_errors,2.0,100.0
resource_managers,ber_drl,block_errors,4.0,100.0
resource_managers,ber_drl,block_errors,6.0,96.0
resource_managers,ber_drl,block_errors,8.0,86.0
resource_managers,ber_drl,block_errors,10.0,26.0
resource_managers,ber_drl,block_errors,12.0,39.0
resource_managers,ber_drl,block_errors,14.0,53.0
resource_managers,ber_drl,block_errors,16.0,41.0
resource_managers,ber_drl,block_errors,18.0,56.0
resource_managers,ber_drl,block_errors,20.0,58.0
resource_managers,ber_drl,total_blocks,0.0,19456.0
resource_managers,ber_drl,total_blocks,2.0,64000.0
resource_managers,ber_drl,total_blocks,4.0,139904.0
resource_managers,ber_drl,total_blocks,6.0,256000.0
resource_managers,ber_drl,total_blocks,8.0,256000.0
resource_managers,ber_drl,total_blocks,10.0,256000.0
resource_managers,ber_drl,total_blocks,12.0,256000.0
resource_managers,ber_drl,total_blocks,14.0,256000.0
resource_managers,ber_drl,total_blocks,16.0,256000.0
resource_managers,ber_drl,total_blocks,18.0,256000.0
resource_managers,ber_drl,total_blocks,20.0,256000.0
resource_managers,ber_drl,num_batches,0.0,152.0
resource_managers,ber_drl,num_batches,2.0,500.0
resource_managers,ber_drl,num_batches,4.0,1093.0
resource_managers,ber_drl,num_batches,6.0,2000.0
resource_managers,ber_drl,num_batches,8.0,2000.0
resource_managers,ber_drl,num_batches,10.0,2000.0
resource_managers,ber_drl,num_batches,12.0,2000.0
resource_managers,ber_drl,num_batches,14.0,2000.0
resource_managers,ber_drl,num_batches,16.0,2000.0
resource_managers,ber_drl,num_batches,18.0,2000.0
resource_managers,ber_drl,num_batches,20.0,2000.0
resource_managers,ber_drl,stop_reason,0.0,target_block_errors
resource_managers,ber_drl,stop_reason,2.0,target_block_errors
resource_managers,ber_drl,stop_reason,4.0,target_block_errors
resource_managers,ber_drl,stop_reason,6.0,max_batches
resource_managers,ber_drl,stop_reason,8.0,max_batches
resource_managers,ber_drl,stop_reason,10.0,max_batches
resource_managers,ber_drl,stop_reason,12.0,max_batches
resource_managers,ber_drl,stop_reason,14.0,max_batches
resource_managers,ber_drl,stop_reason,16.0,max_batches
resource_managers,ber_drl,stop_reason,18.0,max_batches
resource_managers,ber_drl,stop_reason,20.0,max_batches
resource_managers,ber_drl,point_status,0.0,resolved
resource_managers,ber_drl,point_status,2.0,resolved
resource_managers,ber_drl,point_status,4.0,resolved
resource_managers,ber_drl,point_status,6.0,resolved
resource_managers,ber_drl,point_status,8.0,resolved
resource_managers,ber_drl,point_status,10.0,resolved
resource_managers,ber_drl,point_status,12.0,resolved
resource_managers,ber_drl,point_status,14.0,resolved
resource_managers,ber_drl,point_status,16.0,resolved
resource_managers,ber_drl,point_status,18.0,resolved
resource_managers,ber_drl,point_status,20.0,resolved
resource_managers,ber_drl,runtime_total_sec,,10089.358576436058
