stage,method,metric,ebno_db,value
estimators,ls,ber,0.0,0.2781703948974609
estimators,ls,ber,2.0,0.2600107192993164
estimators,ls,ber,4.0,0.24537506103515624
estimators,ls,ber,6.0,0.2331937789916992
estimators,ls,ber,8.0,0.22611147562662762
estimators,ls,ber,10.0,0.2204027811686198
estimators,ls,ber,12.0,0.21600659688313803
estimators,ls,ber,14.0,0.21546866099039713
estimators,ls,ber,16.0,0.21206836700439452
estimators,ls,ber,18.0,0.21027208964029948
estimators,ls,ber,20.0,0.20956528981526693
estimators,ls,ber_upper_confidence,0.0,0.27835627957854125
estimators,ls,ber_upper_confidence,2.0,0.2601926845760889
estimators,ls,ber_upper_confidence,4.0,0.24555357368758748
estimators,ls,ber_upper_confidence,6.0,0.23336920604761946
estimators,ls,ber_upper_confidence,8.0,0.22628501581832272
estimators,ls,ber_upper_confidence,10.0,0.22057474883707115
estimators,ls,ber_upper_confidence,12.0,0.21617732130419653
estimators,ls,ber_upper_confidence,14.0,0.21563923132047558
estimators,ls,ber_upper_confidence,16.0,0.21223795328751344
estimators,ls,ber_upper_confidence,18.0,0.2104411490140976
estimators,ls,ber_upper_confidence,20.0,0.20973414050774727
estimators,ls,latency_ms,0.0,1733.963734133298
estimators,ls,latency_ms,2.0,1725.5074591333403
estimators,ls,latency_ms,4.0,1722.4728214333518
estimators,ls,latency_ms,6.0,1733.2785759333583
estimators,ls,latency_ms,8.0,1716.4750174333485
estimators,ls,latency_ms,10.0,1726.6364092333367
estimators,ls,latency_ms,12.0,1724.712767633313
estimators,ls,latency_ms,14.0,1728.8676047332992
estimators,ls,latency_ms,16.0,1727.7156090333654
estimators,ls,latency_ms,18.0,1726.64877993332
estimators,ls,latency_ms,20.0,1725.6311344333462
estimators,ls,throughput_bits_per_batch,0.0,1135339.8
estimators,ls,throughput_bits_per_batch,2.0,1163902.5
estimators,ls,throughput_bits_per_batch,4.0,1186922.4
estimators,ls,throughput_bits_per_batch,6.0,1206081.9
estimators,ls,throughput_bits_per_batch,8.0,1217221.4
estimators,ls,throughput_bits_per_batch,10.0,1226200.4
estimators,ls,throughput_bits_per_batch,12.0,1233115.0
estimators,ls,throughput_bits_per_batch,14.0,1233961.1
estimators,ls,throughput_bits_per_batch,16.0,1239309.3
estimators,ls,throughput_bits_per_batch,18.0,1242134.6
estimators,ls,throughput_bits_per_batch,20.0,1243246.3
estimators,ls,energy_joules_per_batch,0.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,2.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,4.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,6.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,8.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,10.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,12.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,14.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,16.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,18.0,0.00018645100000000002
estimators,ls,energy_joules_per_batch,20.0,0.00018645100000000002
estimators,ls,avg_power_w,0.0,0.00010752877717664344
estimators,ls,avg_power_w,2.0,0.00010805574847740593
estimators,ls,avg_power_w,4.0,0.00010824612015929822
estimators,ls,avg_power_w,6.0,0.00010757128287909373
estimators,ls,avg_power_w,8.0,0.00010862435986910016
estimators,ls,avg_power_w,10.0,0.00010798509692193287
estimators,ls,avg_power_w,12.0,0.00010810553704884554
estimators,ls,avg_power_w,14.0,0.00010784573641702458
estimators,ls,avg_power_w,16.0,0.00010791764514086722
estimators,ls,avg_power_w,18.0,0.000107984323254901
estimators,ls,avg_power_w,20.0,0.00010804800416470571
estimators,ls,runtime_sec,0.0,18.23343438200004
estimators,ls,runtime_sec,2.0,18.14445505000026
estimators,ls,runtime_sec,4.0,18.106103718999975
estimators,ls,runtime_sec,6.0,18.21680071600008
estimators,ls,runtime_sec,8.0,18.041551303999995
estimators,ls,runtime_sec,10.0,18.1421102970005
estimators,ls,runtime_sec,12.0,18.145102175000147
estimators,ls,runtime_sec,14.0,18.16884746899973
estimators,ls,runtime_sec,16.0,18.151464007999948
estimators,ls,runtime_sec,18.0,18.14601259200026
estimators,ls,runtime_sec,20.0,18.135093344000097
estimators,ls,bit_errors,0.0,4375242.0
estimators,ls,bit_errors,2.0,4089615.0
estimators,ls,bit_errors,4.0,3859416.0
estimators,ls,bit_errors,6.0,3667821.0
estimators,ls,bit_errors,8.0,3556426.0
estimators,ls,bit_errors,10.0,3466636.0
estimators,ls,bit_errors,12.0,3397490.0
estimators,ls,bit_errors,14.0,3389029.0
estimators,ls,bit_errors,16.0,3335547.0
estimators,ls,bit_errors,18.0,3307294.0
estimators,ls,bit_errors,20.0,3296177.0
estimators,ls,total_bits,0.0,15728640.0
estimators,ls,total_bits,2.0,15728640.0
estimators,ls,total_bits,4.0,15728640.0
estimators,ls,total_bits,6.0,15728640.0
estimators,ls,total_bits,8.0,15728640.0
estimators,ls,total_bits,10.0,15728640.0
estimators,ls,total_bits,12.0,15728640.0
estimators,ls,total_bits,14.0,15728640.0
estimators,ls,total_bits,16.0,15728640.0
estimators,ls,total_bits,18.0,15728640.0
estimators,ls,total_bits,20.0,15728640.0
estimators,ls,block_errors,0.0,10160.0
estimators,ls,block_errors,2.0,9956.0
estimators,ls,block_errors,4.0,9770.0
estimators,ls,block_errors,6.0,9598.0
